lable,landmark_0_x,landmark_0_y,landmark_1_x,landmark_1_y,landmark_2_x,landmark_2_y,landmark_3_x,landmark_3_y,landmark_4_x,landmark_4_y,landmark_5_x,landmark_5_y,landmark_6_x,landmark_6_y,landmark_7_x,landmark_7_y,landmark_8_x,landmark_8_y,landmark_9_x,landmark_9_y,landmark_10_x,landmark_10_y,landmark_11_x,landmark_11_y,landmark_12_x,landmark_12_y,landmark_13_x,landmark_13_y,landmark_14_x,landmark_14_y,landmark_15_x,landmark_15_y,landmark_16_x,landmark_16_y,landmark_17_x,landmark_17_y,landmark_18_x,landmark_18_y,landmark_19_x,landmark_19_y,landmark_20_x,landmark_20_y,landmark_21_x,landmark_21_y,landmark_22_x,landmark_22_y,landmark_23_x,landmark_23_y,landmark_24_x,landmark_24_y,landmark_25_x,landmark_25_y,landmark_26_x,landmark_26_y,landmark_27_x,landmark_27_y,landmark_28_x,landmark_28_y,landmark_29_x,landmark_29_y,landmark_30_x,landmark_30_y,landmark_31_x,landmark_31_y,landmark_32_x,landmark_32_y
0,0.375516117,0.23824957,0.38273558,0.220516458,0.387579858,0.221009195,0.391775131,0.222028211,0.370435297,0.221477538,0.367090523,0.222306386,0.363944411,0.222949773,0.398358345,0.230862901,0.361253351,0.231225312,0.384013563,0.256515652,0.370319366,0.257071674,0.425555706,0.338013589,0.334372997,0.332919806,0.449029267,0.412423998,0.282507688,0.414989144,0.420918256,0.467696011,0.33017078,0.470636964,0.412945628,0.485755533,0.338628769,0.492180675,0.411447853,0.476789117,0.341569632,0.488976419,0.412464619,0.471822023,0.340551198,0.480566025,0.405430019,0.597182214,0.354421288,0.589841962,0.401043504,0.779458463,0.350587487,0.767177284,0.391572982,0.94509995,0.33778125,0.92330718,0.384090245,0.963444471,0.344251961,0.947999895,0.387372285,1.000254154,0.299250633,0.971672356
0,0.290596008,0.112219892,0.299718499,0.095812567,0.304340541,0.096328191,0.30909273,0.097137831,0.286278725,0.094956718,0.282794774,0.095033236,0.279353023,0.095271297,0.315543681,0.109405778,0.276061743,0.105126031,0.299446046,0.133308053,0.284413636,0.131353244,0.347308159,0.222500905,0.246052697,0.216309801,0.373270482,0.302330881,0.200330272,0.298963249,0.343933493,0.362629682,0.244487792,0.369349629,0.333202928,0.379353404,0.255301744,0.389378816,0.330905169,0.373210788,0.260734051,0.385187626,0.333710134,0.370551378,0.257307351,0.37860015,0.328707635,0.481415033,0.276033998,0.478004962,0.326065332,0.666220129,0.271602839,0.656749904,0.319158614,0.835639238,0.259757727,0.817679882,0.318306416,0.853698432,0.26665011,0.841141522,0.310625732,0.9053545,0.238297462,0.873225033
0,0.236756667,0.133595258,0.244726419,0.116063759,0.250153244,0.116061285,0.255035013,0.116520122,0.232520327,0.117077522,0.228469953,0.117755331,0.224612057,0.11845804,0.263266802,0.127778023,0.222869098,0.126528516,0.246093646,0.153107211,0.231519654,0.153927401,0.293616951,0.243995637,0.196565047,0.240383059,0.338361233,0.32909593,0.170674101,0.327393353,0.299642473,0.39501673,0.207011536,0.39111039,0.287905961,0.415860593,0.215731382,0.407164842,0.284117192,0.411807358,0.219483897,0.403858453,0.287861973,0.403481036,0.2170358,0.398680985,0.277981609,0.506235123,0.223516986,0.502202153,0.279387474,0.692231834,0.225781545,0.687117517,0.278352082,0.868209004,0.218475714,0.854705811,0.278877705,0.89136368,0.226961225,0.88059181,0.271968305,0.939632833,0.195130378,0.906847179
0,0.306259811,0.169827014,0.313254833,0.150381461,0.318585902,0.150948778,0.323231369,0.15220125,0.300187945,0.150992513,0.296077102,0.15169552,0.292295456,0.152798682,0.328909725,0.163918629,0.288895577,0.162261695,0.313435704,0.187442735,0.298608661,0.188133359,0.356838435,0.279265285,0.260180891,0.275762916,0.394124657,0.356262743,0.225967273,0.363372743,0.370593131,0.405659676,0.265065849,0.41005531,0.360093802,0.421626359,0.273169398,0.42353332,0.357349455,0.409712851,0.27893889,0.417110533,0.359169453,0.404422671,0.277664185,0.413401306,0.344931543,0.530992568,0.294258207,0.528097749,0.347472996,0.723126531,0.29818508,0.719126463,0.348545015,0.899113297,0.2936759,0.879412651,0.346181691,0.917245388,0.298111856,0.900105715,0.346052706,0.957303107,0.280154854,0.939135253
0,0.389418125,0.195036069,0.396044105,0.178986534,0.399317652,0.181308061,0.402918667,0.183196083,0.384607911,0.1722987,0.379439384,0.170653194,0.375476331,0.169595703,0.402902901,0.19163242,0.364270151,0.176956087,0.392405868,0.213995576,0.378558964,0.209478214,0.411069423,0.297863036,0.327302396,0.276033878,0.401162982,0.399846256,0.266543001,0.346848488,0.388576955,0.462956548,0.308193147,0.432745874,0.378180534,0.481071204,0.314381957,0.456756324,0.375681728,0.476681054,0.318592966,0.451466113,0.379751265,0.46816501,0.317430228,0.442481905,0.392372489,0.544874132,0.343171924,0.541478872,0.388537318,0.723698556,0.339808613,0.719197333,0.388259143,0.895854712,0.328597665,0.878817916,0.386493176,0.912274182,0.334089071,0.900996566,0.379422069,0.960858941,0.306936294,0.929406762
0,0.411986649,0.179305598,0.413283378,0.163644269,0.414019555,0.164322034,0.41549769,0.164899901,0.403718978,0.159597412,0.399711013,0.157827511,0.394810706,0.156654552,0.406600922,0.170622885,0.377673775,0.162861437,0.412122041,0.200140163,0.400207669,0.197386444,0.385331422,0.27769044,0.362769812,0.251876116,0.417639166,0.348176211,0.405795783,0.297007561,0.427526176,0.369404703,0.437219083,0.331777573,0.425001323,0.382103831,0.438979238,0.344791144,0.428085476,0.379358113,0.438260376,0.343418002,0.425248563,0.377180248,0.435996562,0.341402173,0.400759399,0.544997573,0.363668442,0.540938735,0.40146926,0.722594559,0.334792316,0.72862488,0.398069173,0.885847926,0.287840009,0.895549476,0.383902371,0.909455597,0.281870574,0.914248049,0.41367954,0.950101256,0.276055694,0.961419225
0,0.49030602,0.199471995,0.493464321,0.181761235,0.496149838,0.182934433,0.498578638,0.184227049,0.482743561,0.177747324,0.477878034,0.176207036,0.473215848,0.174909025,0.492380053,0.190372482,0.459269196,0.179844648,0.490788162,0.217250749,0.479154766,0.214976639,0.482310414,0.302145213,0.440316737,0.271095753,0.504398763,0.40643993,0.491678029,0.304968685,0.493342072,0.5151456,0.519740343,0.333435357,0.492131442,0.552188098,0.52251029,0.348281354,0.490758389,0.546562076,0.52183497,0.348812044,0.490435511,0.531673193,0.51993829,0.348297387,0.49224928,0.560812116,0.453162342,0.557448149,0.483834475,0.736585855,0.420014292,0.737995863,0.477237791,0.898748636,0.369851857,0.900623381,0.464031607,0.91882515,0.365309447,0.91774565,0.493443131,0.958231926,0.360434026,0.966226637
0,0.443803579,0.191640362,0.452047616,0.175890326,0.457596898,0.178115502,0.461633861,0.180135742,0.440830618,0.173666432,0.437370479,0.174044564,0.433251262,0.174391001,0.471415699,0.191586912,0.431917161,0.185541034,0.452963948,0.21559231,0.438415021,0.211824119,0.491626352,0.295514852,0.411198199,0.304104805,0.528082609,0.301599294,0.362352997,0.347120285,0.458902687,0.295505732,0.361964852,0.329988509,0.439381063,0.298790634,0.354791611,0.312584966,0.435272753,0.298947215,0.365970075,0.313142985,0.43772909,0.305330873,0.370611578,0.311994553,0.468595922,0.565108716,0.415822595,0.558579803,0.474757195,0.74002707,0.399048448,0.738240242,0.469318569,0.895926356,0.364964187,0.890098989,0.460963905,0.913663447,0.369864613,0.907999337,0.481660008,0.958973289,0.352432042,0.953717947
0,0.462225705,0.19083643,0.469247401,0.175965175,0.474183857,0.177976668,0.478282005,0.180210263,0.457042575,0.175313815,0.453874797,0.176493675,0.450650901,0.177776471,0.485975087,0.192856863,0.449373543,0.188878059,0.47027576,0.215107709,0.455041826,0.212836042,0.508712053,0.307426691,0.423559129,0.296654016,0.541710198,0.303319216,0.38286534,0.322382152,0.472953945,0.302647889,0.380826831,0.311698645,0.455058455,0.307543725,0.378080696,0.307130337,0.450700909,0.306494892,0.386221707,0.307066888,0.454918861,0.31101948,0.388750136,0.312800467,0.477229863,0.571611106,0.418606251,0.56108439,0.475720793,0.743125737,0.403272837,0.738812983,0.478559554,0.898032308,0.373424441,0.891095102,0.471690327,0.914964736,0.377302051,0.908193231,0.487163663,0.959184349,0.357144177,0.956646502
0,0.437378347,0.194918528,0.446643502,0.179728091,0.449471653,0.180784062,0.453294128,0.181778327,0.440891802,0.177887678,0.44041869,0.177337885,0.440031022,0.176666051,0.471529156,0.196398452,0.452494591,0.187570393,0.442727536,0.217108607,0.437062174,0.213857934,0.480407268,0.279109091,0.431743026,0.286695957,0.466594905,0.283563703,0.410345823,0.32098791,0.416109592,0.30438897,0.387603283,0.321374774,0.408248425,0.313213199,0.381085753,0.320484787,0.406690419,0.315140158,0.387425452,0.320219606,0.408976078,0.312789589,0.39023912,0.320346683,0.461739331,0.55965513,0.418290317,0.554093301,0.465794772,0.738166094,0.397336364,0.732513726,0.476248324,0.896747708,0.373775423,0.886833787,0.470132649,0.911701679,0.380586505,0.903122723,0.486311436,0.959677041,0.357220501,0.958341599
